D,Month,Predicted,LL,UL
1,1,-0.7101637,-0.7409156,-0.6794119
1,2,-0.7820218,-0.8003241,-0.7637196
1,3,-0.9255668,-0.9421047,-0.9090288
1,4,-0.9938655,-1.011412,-0.9763192
1,5,-1.145131,-1.1636,-1.126663
1,6,-1.195807,-1.213795,-1.17782
1,7,-1.171622,-1.195468,-1.147776
1,8,-1.205794,-1.256601,-1.154987
1,9,-1.14806,-1.226289,-1.06983
1,10,-1.101962,-1.179023,-1.024902
1,11,-0.9687358,-1.041174,-0.896298
1,12,-0.7527288,-0.796978,-0.7084796
2,1,-0.7380862,-0.8478968,-0.6282756
2,2,-0.9082331,-1.039413,-0.7770537
2,3,-0.8301613,-0.9342011,-0.7261215
2,4,-0.9566815,-1.06394,-0.8494234
2,5,-0.9915953,-1.117168,-0.8660231
2,6,-1.078915,-1.183146,-0.9746848
2,7,-1.062076,-1.15702,-0.9671312
2,8,-1.073096,-1.166818,-0.9793733
2,9,-1.135968,-1.211667,-1.060269
2,10,-1.082248,-1.189637,-0.9748576
2,11,-0.8603243,-0.9470311,-0.7736175
2,12,-0.8127809,-0.9060098,-0.719552
